Month,ProductFamily,ForecastUnits,ActualSalesUnits,ProductionUnits,ClosingStockUnits,ForecastAccuracyPct
2027-01,Frozen Pizza,48000,50000,49000,11000,96.0
2027-01,Ready Meals,36000,38500,38000,8500,93.5
2027-01,Snack Bars,30000,25500,30000,12500,82.4
2027-01,Soups,52000,56000,55000,14000,92.9
2027-02,Frozen Pizza,47000,49200,48000,9800,95.5
2027-02,Ready Meals,37000,39800,40000,8700,93.0
2027-02,Snack Bars,28000,33000,28000,7500,84.8
2027-02,Soups,50000,53500,53000,13500,93.5
2027-03,Frozen Pizza,45000,43500,44000,10300,96.6
2027-03,Ready Meals,38000,40500,41000,9200,93.8
2027-03,Snack Bars,32000,26800,32000,12700,80.6
2027-03,Soups,42000,39000,40000,14500,92.3
2027-04,Frozen Pizza,44000,41800,42000,10500,94.7
2027-04,Ready Meals,39000,42000,42000,9200,92.9
2027-04,Snack Bars,27000,31500,27000,8200,85.7
2027-04,Soups,33000,30500,31000,15000,91.8
2027-05,Frozen Pizza,43000,45000,45000,10500,95.6
2027-05,Ready Meals,40000,43500,44000,9700,91.9
2027-05,Snack Bars,35000,28500,35000,14700,77.2
2027-05,Soups,26000,23800,24000,15200,90.8
2027-06,Frozen Pizza,46000,44200,45000,11300,95.9
2027-06,Ready Meals,41000,44800,45000,9900,91.5
2027-06,Snack Bars,29000,34200,29000,9500,84.8
2027-06,Soups,22000,24500,24000,14700,89.8
